sku,description,category
59sJS9fs,Juicy Sweet Mangoes,"Fruit & Vegetables"
vrT4kXrV,Farm Fresh Chicken Breast Fillets,"Meat & Poultry"
xQ4IXc6t,Wild Alaskan Salmon Steaks,"Seafood"
UQprYmSB,Ripe and Ready Avocados,"Fruit & Vegetables"
Y4nUBQ73,Organic Blueberries,"Fruit & Vegetables"
3ST2YzWL,Lean Ground Beef,"Meat & Poultry"
s3TW6iu7,Freshly Baked Baguettes,"Bakery"
zIYPhzsC,Mozzarella Cheese Block,"Dairy & Cheese"
oAclJwfy,Free Range Eggs (12 count),"Dairy & Cheese"
Vqbbu572,Greek Yogurt - Honey Flavour,"Dairy & Cheese"
CevQsGza,Sliced White Bread,"Bakery"
ugyAt2P9,Cheddar Cheese Slices,"Dairy & Cheese"
t4BS1Vl3,Broccoli Florets,"Fruit & Vegetables"
wCHwyTfD,Seedless Grapes,"Fruit & Vegetables"
f4A9G7Wt,Boneless Pork Chops,"Meat & Poultry"
bNlh0H18,Freshly Squeezed Orange Juice,"Beverages"
cnTVuMMq,Organic Baby Spinach,"Fruit & Vegetables"
ghiodw1E,Semi-Skimmed Milk,"Dairy & Cheese"
h5ORkG7X,Large White Mushrooms,"Fruit & Vegetables"
KWeC9KtM,Sliced Ham,"Meat & Poultry"
gZvIXLh7,Frozen Peas,"Frozen Food"
IZ1YZq5B,Vanilla Ice Cream,"Frozen Food"
GRp74erp,Frozen Pizza - Margherita,"Frozen Food"
0bFba8UL,Chocolate Chip Cookies,"Bakery"
rnxDwNd9,French Fries,"Frozen Food"
W79wG6sc,Chicken Nuggets,"Frozen Food"
IdV1n9XO,Fish Fingers,"Frozen Food"
x7xEcADV,Bag of Potatoes,"Fruit & Vegetables"
dsyUQBWX,Onions,"Fruit & Vegetables"
BJhqJjcO,Garlic,"Fruit & Vegetables"
54suMHUr,Lemons,"Fruit & Vegetables"
GDdu6qBt,Limes,"Fruit & Vegetables"
uSdusucc,Ground Coffee,"Beverages"
dyeJhwKn,English Breakfast Tea Bags,"Beverages"
ZSowoa0m,Canned Tomatoes,"Pantry"
PCRDIT0k,Pasta Sauce - Arrabbiata,"Pantry"
RetqUAiS,Spaghetti,"Pantry"
Bx9Z0C0l,Olive Oil,"Pantry"
f4tWdUxh,Balsamic Vinegar,"Pantry"
ZhCYji6a,Salt & Pepper,"Pantry"
yvA89MqF,Sugar,"Pantry"
dj57LYhs,Flour,"Pantry"
yRGVuL5t,Baking Powder,"Pantry"
SKgsB53X,Vanilla Extract,"Pantry"
l31zxiB0,Chocolate Chips,"Baking Supplies"
902SswcX,Sprinkles,"Baking Supplies"
xg6ZF1hQ,Food Coloring,"Baking Supplies"
gHZ0c3zy,Parchment Paper,"Baking Supplies"
xJxK0RQu,Aluminum Foil,"Pantry"
kZjMOYGc,Cling Film,"Pantry"
TXSwv9ar,Sandwich Bags,"Pantry"
14EYMFlF,Paper Towels,"Household"
fHmTOlcx,Toilet Paper,"Household"
uEwoKR3c,Dish Soap,"Household"
jWeKxtnL,Laundry Detergent,"Household"
fsxOwU1s,Fabric Softener,"Household"
NYWDG65I,Air Freshener,"Household"
A9U9HGJ8,Batteries,"Household"
1RwXwK4E,Light Bulbs,"Household"
kcEUvVE1,Trash Bags,"Household"
1Soum0tq,Freshly Baked Croissants,"Bakery"
ITZyzPcI,Hummus,"Deli"
vCgPcGbf,Pickles,"Pantry"
qsi01jkt,Sliced Turkey Breast,"Deli"
PsE7milb,Roast Beef,"Deli"
mUlgSwq9,Potato Salad,"Deli"
OyWcSivD,Coleslaw,"Deli"
f5FkrlQA,Chicken Noodle Soup,"Deli"
f56ZkBfD,Canned Tuna,"Pantry"
n9Lg8Agr,Canned Salmon,"Pantry"
be13PkFN,Canned Peaches,"Pantry"
px99rB1P,Canned Pineapple,"Pantry"
4xcgZEWT,Canned Corn,"Pantry"
tVdh8AY4,Canned Green Beans,"Pantry"
FAvxPUpQ,Canned Black Beans,"Pantry"
8b195U0T,Canned Kidney Beans,"Pantry"
heLVkwPj,Canned Chickpeas,"Pantry"
qf3F3VuR,Rice,"Pantry"
W84IwdnE,Quinoa,"Pantry"
y8BFq6Tg,Brown Rice,"Pantry"
ywGs8Pu2,Popcorn Kernels,"Pantry"
mzwxQlOw,Dried Cranberries,"Dried Fruits & Nuts"
sVmO8Fys,Almonds,"Dried Fruits & Nuts"
rHV70824,Cashews,"Dried Fruits & Nuts"
5JIG2vzT,Trail Mix,"Dried Fruits & Nuts"
f2hpu7Ge,Dark Chocolate Bar,"Confectionery"
32wjs0gg,Milk Chocolate Bar,"Confectionery"
BYoMkmWR,Gummy Bears,"Confectionery"
msR9p7x3,Sour Candy,"Confectionery"
TbmaE12d,Lollipops,"Confectionery"
Sqyl5FAG,Chewing Gum,"Confectionery"
2TEXsAPm,Potato Chips,"Snacks"
2gvDR6M0,Tortilla Chips,"Snacks"
c0MSh17G,Pretzels,"Snacks"
M3uoyUyk,Christmas Pudding,"Seasonal"
1u1u5Kmt,Sparkling Water,"Beverages"
fkdiP7ma,Energy Drink,"Beverages"
j91WstqI,Sports Drink,"Beverages"
O1iDLvEV,Fruit Punch,"Beverages"
Bz1eLWFY,Bottled Water,"Beverages"
